"term","estimate","std.error","statistic","p.value","outcome","category"
"change_categoryModerate backsliding",0.00133757361233135,0.00200451993474925,0.667278777897848,0.505515063502734,"prop_sdg_missing","Moderate backsliding"
"change_categoryLarge backsliding",0.00372778635977821,0.00406276455657348,0.917549197810816,0.360178140743981,"prop_sdg_missing","Large backsliding"
"change_categoryModerate democratization",-0.00172404189483846,0.00238848035932999,-0.721815395342869,0.471417422209791,"prop_sdg_missing","Moderate democratization"
"change_categoryLarge democratization",-0.000191769084053636,0.00367248723712913,-0.0522177673253253,0.95841758452885,"prop_sdg_missing","Large democratization"
"change_categoryModerate backsliding",0.00272877513816623,0.00424634745223694,0.642617018239695,0.521353902747593,"prop_miss_SDG1","Moderate backsliding"
"change_categoryLarge backsliding",0.00812338601943024,0.00823687829906477,0.986221445125951,0.325451164215988,"prop_miss_SDG1","Large backsliding"
"change_categoryModerate democratization",-0.00174198344860619,0.00400597295263211,-0.43484653271601,0.664235225039081,"prop_miss_SDG1","Moderate democratization"
"change_categoryLarge democratization",0.000473044147859674,0.0025479294186771,0.185658262113588,0.852938068278099,"prop_miss_SDG1","Large democratization"
"change_categoryModerate backsliding",-0.000529814224320583,0.00779617645454019,-0.0679582135435172,0.945900195227309,"prop_miss_SDG2","Moderate backsliding"
"change_categoryLarge backsliding",0.0138966458444732,0.0145528407333056,0.954909498368208,0.341003670077403,"prop_miss_SDG2","Large backsliding"
"change_categoryModerate democratization",-0.0234644051085635,0.0108714088821965,-2.15835917522979,0.0323280005330072,"prop_miss_SDG2","Moderate democratization"
"change_categoryLarge democratization",-0.00579154462790247,0.0204707745636257,-0.282917708360357,0.777590296681298,"prop_miss_SDG2","Large democratization"
"change_categoryModerate backsliding",0.00758028797180145,0.00270998139690592,2.79717343464281,0.00576077245668934,"prop_miss_SDG3","Moderate backsliding"
"change_categoryLarge backsliding",0.00525937001718757,0.00407342934807659,1.29114060114261,0.198439301659077,"prop_miss_SDG3","Large backsliding"
"change_categoryModerate democratization",0.00227255076664991,0.0038329891082893,0.592892570901192,0.554055075902758,"prop_miss_SDG3","Moderate democratization"
"change_categoryLarge democratization",0.0040220462763247,0.00688556330574718,0.584127412345133,0.559922792776977,"prop_miss_SDG3","Large democratization"
"change_categoryModerate backsliding",-0.0182396809348552,0.0126285637495629,-1.4443195043052,0.150522657348607,"prop_miss_SDG4","Moderate backsliding"
"change_categoryLarge backsliding",0.0197115572318693,0.0268438152605572,0.734305352668419,0.463792418581,"prop_miss_SDG4","Large backsliding"
"change_categoryModerate democratization",-0.0155770570356861,0.0144829180809558,-1.0755468579339,0.283681377505909,"prop_miss_SDG4","Moderate democratization"
"change_categoryLarge democratization",0.00215613590456389,0.026121736092553,0.0825418301802148,0.934314706429584,"prop_miss_SDG4","Large democratization"
"change_categoryModerate backsliding",0.00891501161224321,0.00375440115459962,2.3745495606726,0.0187053308868458,"prop_miss_SDG5","Moderate backsliding"
"change_categoryLarge backsliding",0.0196519397439143,0.0110693988083966,1.77533939142273,0.0776632792539285,"prop_miss_SDG5","Large backsliding"
"change_categoryModerate democratization",-0.00165171337599512,0.0036373968948377,-0.454092149894139,0.650352109844308,"prop_miss_SDG5","Moderate democratization"
"change_categoryLarge democratization",0.00907237495954119,0.00914333841186739,0.992238780943064,0.322516553557622,"prop_miss_SDG5","Large democratization"
"change_categoryModerate backsliding",-0.00146815086031379,0.00448543842916849,-0.327314906557742,0.743839649315624,"prop_miss_SDG6","Moderate backsliding"
"change_categoryLarge backsliding",-0.0147705386432471,0.00648740270688514,-2.27680310759359,0.024067223755198,"prop_miss_SDG6","Large backsliding"
"change_categoryModerate democratization",-0.00330997666673289,0.00443513016236971,-0.74630879941624,0.456530195424166,"prop_miss_SDG6","Moderate democratization"
"change_categoryLarge democratization",-0.000640997717445498,0.00954748509698124,-0.0671378599635805,0.946552265324012,"prop_miss_SDG6","Large democratization"
"change_categoryModerate backsliding",-1.19522777515237e-19,1e-06,-1.19522777515237e-13,0.999999999999905,"prop_miss_SDG7","Moderate backsliding"
"change_categoryLarge backsliding",7.74520862172966e-20,1e-06,7.74520862172966e-14,0.999999999999938,"prop_miss_SDG7","Large backsliding"
