country_name,country_code,year,year_fct,sdg_overall,spi_comp,elect_dem,lib_dem,part_dem,delib_dem,egal_dem,log_gdppc,log_pop,regime_type_4,regime_type_10,freefair,accountability,vt_account,hz_account,diag_account,academ_free,freexp_altinfo,population,p1_use,p2_services,p3_products,p4_sources,p5_infra,income,region_spi,weights,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,sdg1_wpc,sdg1_lmicpov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_mdd,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_pestexp,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_preprim,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_underach,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon,sdg8_adjgrowthi,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_impslav,sdg8_empop,sdg8_yneet,sdg9_roads,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_uni,sdg9_articles,sdg9_rdex,sdg9_patents,sdg9_rdres,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_rentover,sdg11_urbaccess,sdg11_transport,sdg12_msw,sdg12_ewaste,sdg12_pollprod,sdg12_pollimp,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_ghgimport,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_impdefor,sdg16_homicides,sdg16_security,sdg16_detain,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_justice,sdg16_admin,sdg16_exprop,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofits,sdg17_statperf,sdg17_multilat,regime_type_2,elect_dem_ert,regch_event,regch_genuine,dem_ep,dem_ep_pre_yr,dem_ep_start_yr,dem_ep_end_yr,aut_ep,aut_ep_pre_yr,aut_ep_start_yr,aut_ep_end_yr,gdp_pc,ccodecow,infcap_irt,infcap_pca,statagency,census,first_moderncensus,register_based_census,yearbook_published,yearbook_coverage,civreg,popreg,statag_intro,censusgraded_ability,ybcov_ability,income_level_lab,electric_access,rural_pop_pct,rd_expenditure_pct,total_pop,income_level
Afghanistan,AFG,2015,2015,42.82251206349206,NA,0.375,0.225,0.161,0.339,0.231,6.337833595469902,17.35396248022591,1,3,0.227,0.427,0.267,0.526,0.665,0.542,0.709,34413603,50,NA,53.56875000000001,25.441666666666663,NA,Low income,South Asia,1,52.1815,34.80875,32.70585714285714,21.0495,18.45425,36.6188,26.721,48.26685714285715,6.938499999999999,NA,33.8885,94.048,98.50466666666667,NA,46.579,45.943,45.6295,16.976,37.211,NA,20,NA,NA,NA,12.56,2.231,2.206,0.9460000000000001,NA,NA,741.2,41.793,72.43900000000001,189,0.03,35,NA,14.36,62.27,NA,50.5,62,35.57,3.36,NA,NA,NA,NA,NA,NA,35.821,NA,NA,NA,NA,40.2,21.799,25.38,27.7,NA,62.37,44.001,54.76,0,3527.051,23.854,NA,71.5,27.6,8.173,9.3,NA,NA,NA,9.052,0.339,0.043,NA,NA,NA,NA,8.26,5.646,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,70.908,37.3,34.54,NA,NA,NA,NA,NA,3.382,0.739,10.312,4.273,NA,NA,0.29,0.472,NA,NA,NA,NA,NA,NA,NA,NA,5.822,0,0.925,NA,NA,9.952,0.558,NA,NA,11,NA,NA,62.56,0.448,0.435,0.458,NA,3.776,NA,10.131,NA,NA,NA,NA,NA,0,0.353,0,0,0,0,NA,NA,0,1,2016,2024,565.5697304,700,NA,0.3654834628105163,1,0,NA,0,1,1,0,0,1,0,10,NA,71.5,75.197,NA,33831764,L
Angola,AGO,2015,2015,52.34810620915033,NA,0.309,0.134,0.074,0.124,0.11,8.075241244344893,17.143577233382526,1,3,0.202,-0.171,0.171,-0.874,-0.065,0.402,0.453,27884380,60,NA,67.33124999999998,38.49166666666667,NA,Lower middle income,Sub-Saharan Africa,1,52.7405,52.56255555555556,33.18207142857143,46.14749999999999,49.72,51.3914,34.45,57.87685714285715,14.311,39.4355,43.55875,92.25457142857142,91.50933333333334,69.08983333333333,63.12059999999999,40.15199999999999,58.415333333333344,19.856,34.592,NA,14,37.6,4.9,29.1,9.26,2.12,0.982,0.879,NA,NA,249.4,30.724,88.153,366,0.8300000000000001,23.2,NA,23.62,61.042,NA,NA,51,35.6,3.866,NA,NA,NA,NA,NA,NA,75.661,NA,NA,NA,NA,31.1,60.34,94.114,36.8,NA,54.317,47.374,1.87,4.29,717.487,NA,NA,42,47.3,2.814,4.600000000000001,NA,NA,NA,16.49,NA,0.408,NA,NA,NA,NA,22,14.26,NA,NA,0.003,NA,NA,NA,NA,NA,NA,NA,NA,53.384,22.7,54.933,NA,NA,NA,NA,NA,0.256,2.015,12.678,8.925,NA,NA,0.996,1.347,NA,NA,65.925,55.85,13.1,26.136,7.463,NA,31.342,42.19,0.932,NA,NA,4.453,NA,NA,NA,15,NA,NA,62.16,NA,NA,NA,84.166,4.33,NA,18.777,NA,NA,NA,NA,NA,0,0.292,0,0,0,0,NA,NA,0,0,NA,NA,3213.902611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,36.554,NA,28157798,UM
Albania,ALB,2015,2015,71.84151433664375,NA,0.527,0.442,0.322,0.3,0.384,8.282180371700328,14.873544919547472,2,5,0.489,0.843,0.733,0.917,0.88,0.855,0.759,2880703,80,NA,63.1,65.79166666666666,NA,Upper middle income,Europe & Central Asia,1,96.714,58.72349999999999,80.93642857142858,93.94875,49.225,75.65020000000001,82.71225000000001,57.74400000000001,29.4925,81.504,86.47166666666668,77.74199999999999,90.337,43.026,82.92960000000001,66.33118181818183,67.81766666666667,0.906,2.742,NA,4.4,NA,NA,NA,19.09,2.359,4.874,1.063,NA,NA,9.14,6.028,9.578,17,0.03,13.3,NA,13.77,78.358,19.96,NA,97,61,4.655,NA,NA,NA,85.718,99.791,101.055,NA,NA,NA,NA,53.283,24.2,94.717,73.324,20.7,NA,93.394,97.655,5.53,10.946,678.879,70.592,41.58,100,76.60000000000001,0.799,38.5,NA,NA,NA,17.193,0.449,0.391,NA,NA,NA,NA,56.9,44.755,NA,NA,0.162,NA,7.284,NA,NA,NA,32.8,1.253,NA,9.1,20,87.325,NA,NA,NA,NA,NA,6.502,2.647,44.155,7.692,NA,NA,1.634,1.785,NA,NA,67.231,56.79,NA,80.417,23.837,NA,47.747,96.587,0.909,NA,NA,2.208,0.8230000000000001,49.239,NA,36,NA,NA,71.23,0.598,0.505,0.448,207.495,6.148,NA,24.738,NA,NA,NA,NA,NA,1,0.524,0,0,0,0,NA,NA,0,0,NA,NA,3952.803574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,42.566,NA,2880703,UM
United Arab Emirates,ARE,2015,2015,63.67215971234648,NA,0.094,0.09,0.031,0.084,0.14,10.681320428554548,16.04152730070903,0,0,0.452,-0.63,-0.048,-0.523,-0.762,0.144,0.126,9262896,40,NA,35.56875,NA,NA,High income,Middle East & North Africa,1,99.2775,65.984,87.93646153846154,86.47425,50.726,59.7786,67.4915,57.04600000000001,61.76612500000001,84.33250000000001,68.85925,44.08842857142857,6.941,70.26083333333334,44.814,73.8096,52.84066666666667,0.298,0.533,NA,4.600000000000001,NA,NA,NA,31.91,2.456,35.291,1.321,NA,NA,3.25,4.177,7.656000000000001,0.81,NA,8.4,NA,18.09,82.07600000000001,5.350000000000001,99.9,99,71.59,6.573,NA,NA,NA,NA,NA,NA,NA,NA,432.585,9.56,48.73,57.1,95.08,52.305,17.5,NA,99.928,99.10900000000001,1696.36,100,14200.789,NA,98.45,100,100,1.772,0.1,NA,NA,NA,1.793,0.515,3.496,NA,NA,NA,NA,90.5,144.523,NA,NA,0.488,0.866,61.393,NA,NA,NA,NA,NA,NA,0.3,57.8,99.566,NA,NA,NA,NA,NA,8.225,25.401,48.181,94.61200000000001,NA,NA,25.423,13.288,NA,NA,49.981,65.56,20.23,5.385,0.54,NA,45.886,26.374,0.864,NA,NA,0.6920000000000001,0.933,NA,NA,70,NA,NA,63.27,0.58,0.633,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.097,0,0,0,0,NA,NA,0,0,NA,NA,43534.99727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,14.326,0.8657,8505237,H
Argentina,ARG,2015,2015,74.12324374204229,NA,0.771,0.598,0.517,0.566,0.604,9.52366288817224,17.579774950705943,2,6,0.853,1.239,1.242,0.724,1.233,0.947,0.88,43131966,70,NA,74.20625000000001,69.16666666666667,NA,Upper middle income,Latin America & Caribbean,1,97.0695,67.054625,82.20835714285714,95.49575,75.42425,86.9144,72.07575,74.6077142857143,45.05625,43.984,88.85900000000001,76.01057142857142,89.76466666666666,67.45133333333332,59.7174,62.4609090909091,75.94066666666667,1.044,2.278,NA,2.8,NA,NA,NA,28.77,2.446,4.779,0.267,NA,NA,38.62,6.812,11.747,26,0.13,16.2,NA,13.88,76.60000000000001,63.62,99.60000000000001,89,79.66,6.65,NA,NA,26,98.264,99.128,90.46000000000001,NA,NA,NA,NA,NA,80.9,103.405,66.45100000000001,36.2,NA,98.982,94.42,10.46,NA,397.471,NA,46.097,99.7,99.7,1.322,8.9,NA,NA,NA,7.579,0.663,0.706,NA,NA,NA,NA,68.043,76.021,NA,NA,0.287,0.623,20.654,NA,NA,NA,NA,NA,NA,14.8,13.5,97.833,NA,NA,NA,NA,NA,1.773,1.879,72.555,6.15,NA,NA,4.455,1.209,NA,26.993,41.147,79.86,43.33,25.189,6.296,NA,31.059,39.327,0.859,NA,NA,6.525,0.55,50.91,NA,32,NA,NA,73.89,0.736,0.43,0.5,168.049,12.596,NA,22.149,NA,NA,NA,NA,NA,1,0.776,0,0,0,0,NA,NA,0,0,NA,NA,13679.6265,160,NA,0.8675462603569031,1,0,NA,0,0,0,1,1,1,20,8,NA,99.7,8.497,0.62262,43477012,UM
Armenia,ARM,2015,2015,71.84148819444445,NA,0.35,0.207,0.194,0.226,0.284,8.164052993751753,14.888996131499804,1,3,0.195,0.245,0.19,-0.37,0.657,0.669,0.612,2925559,80,NA,68.96249999999999,62.49166666666666,NA,Upper middle income,Europe & Central Asia,1,91.68350000000001,58.14977777777779,74.977,73.023,52.2855,69.54860000000001,74.9965,62.1495,38.874,81.0985,87.28633333333335,86.07042857142858,93.46499999999999,NA,61.5406,77.85157142857143,66.464,1.81,7.282,NA,2.5,NA,NA,NA,21.6,2.31,3.132,0.971,NA,NA,25.05,7.731,14.649,50,0.17,22.2,NA,16.75,74.229,24.33,NA,94,67.17,4.36,NA,NA,NA,46.636,92.974,NA,NA,NA,NA,NA,NA,40.2,100.069,80.45700000000001,10.7,NA,99.525,92.914,66.01,38,788.947,83.078,11.732,100,97.5,0.724,10.7,NA,NA,NA,18.261,NA,0.346,NA,NA,NA,NA,59.101,41.237,NA,NA,0.357,0.25,56.153,NA,NA,NA,32.4,1.284,NA,9.128,28.3,99.307,NA,NA,NA,NA,NA,2.518,2.547,24.04,11.218,NA,NA,1.896,1.62,NA,NA,NA,NA,NA,NA,NA,NA,22.569,30.53,0.845,NA,NA,2.567,NA,28.763,NA,35,4.1,NA,71.57000000000001,NA,NA,NA,134.545,4.416,NA,23.092,NA,NA,NA,NA,NA,0,0.345,0,0,1,0,2010,2019,0,0,NA,NA,3512.393503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,36.915,0.25002,3004600,LM
Australia,AUS,2015,2015,76.1075217893218,NA,0.866,0.825,0.603,0.794,0.751,10.946217551536074,16.98586797173483,3,9,0.953,1.844,1.62,2.066,1.59,0.896,0.951,23815995,80,NA,68.05624999999999,NA,NA,High income,East Asia & Pacific,1,99.54249999999999,62.42044444444444,95.39078571428571,94.86175,77.39525,90.69039999999998,71.33125,80.80785714285715,89.4245,76.5315,93.42575,50.76642857142857,24.65066666666667,65.06083333333333,61.471,88.67045454545456,71.3865,0.236,0.304,NA,2.5,NA,NA,NA,26.98,2.476,2.027,0.804,NA,NA,5.9,2.349,3.881,6,0.04,9.3,NA,5.19,82.605,11.9,98.8,93,87.25,7.313,9.9,NA,NA,88.218,99.97200000000001,98.06,NA,NA,502.264,13.03,21.974,85.4,99.82900000000001,83.105,26.7,13.308,99.97,99.998,3.71,92.38,3021.182,NA,95.101,100,100,1.592,9.4,NA,NA,NA,6.055,0.705,2.371,NA,72.158,9.758000000000001,NA,84.561,126.357,NA,66.8,3.503,1.919,475.902,NA,NA,31.733,NA,NA,NA,0.035,5.9,99.021,17.939,NA,NA,NA,NA,0.804,12.759,158.579,52.454,NA,0.883,16.983,7.013,NA,20.344,61.64,80.7,43.023,16.41,8.089,NA,51.833,33.524,0.84,NA,NA,0.985,0.903,26.734,NA,79,NA,NA,82.97,0.5660000000000001,0.768,0.877,155.431,12.693,NA,NA,NA,NA,NA,NA,NA,1,0.872,0,0,0,0,NA,NA,0,0,NA,NA,56739.02653,900,NA,0.6751622557640076,1,0,NA,0,0,0,1,0,1,20,7,NA,100,14.299,1.91902,23815995,H
Austria,AUT,2015,2015,83.537479295184,NA,0.873,0.805,0.661,0.793,0.774,10.69001641864105,15.972225476257695,3,9,0.945,1.665,1.423,1.645,1.674,0.978,0.967,8642699,80,NA,68.26875,NA,NA,High income,Europe & Central Asia,1,99.2245,76.91166666666668,93.09500000000001,97.624,77.61449999999999,92.7698,85.59774999999999,78.07828571428571,90.21337500000001,93.8995,95.79233333333332,48.79214285714286,70.74900000000001,NA,72.5108,91.13518181818182,72.59183333333334,0.414,0.505,8.700000000000001,2.5,NA,NA,NA,14.4,2.409,6.198,0.64,NA,NA,6.57,2.269,3.712,7.5,NA,11.6,NA,5.69,81.159,7.62,98.5,93,84.13,7.119,1.921,22.4,NA,97.09,98.658,98.26,NA,38.6,492.215,15.446,21.751,87.4,93.983,83.162,30.6,17.043,100,99.977,9.11,NA,2459.205,98.909,99.665,100,100,1.107,34.8,NA,NA,NA,5.802,0.8210000000000001,4.054,NA,71.10000000000001,8.986,NA,83.94,69.78,NA,46.9,2.651,3.05,1639.679,10.165,17.934,25.297,30.5,0.96,7.8,NA,13.7,NA,10.646,NA,NA,NA,NA,14.078,12.649,49.752,48.03,NA,0.642,7.73,7.795,NA,38.575,NA,NA,NA,NA,NA,NA,67.37,68.81,0.885,NA,NA,0.509,0.922,NA,NA,76,NA,NA,89.15,0.7000000000000001,0.678,0.803,NA,12.967,NA,NA,NA,NA,NA,NA,NA,1,0.872,0,0,0,0,NA,NA,0,0,NA,NA,43915.22802,305,NA,1,1,1,NA,0,1,1,1,1,1,30,10,NA,100,42.285,3.04969,8642699,H
Azerbaijan,AZE,2015,2015,70.78105126488094,NA,0.195,0.065,0.06,0.06,0.139,8.612594939028103,16.08240018082785,1,3,0.057,-0.866,-0.335,-1.463,-0.776,0.105,0.17,9649341,50,NA,59.50000000000001,63.46666666666666,NA,Upper middle income,Europe & Central Asia,1,99.28550000000001,54.317875,72.57585714285715,70.12825,52.27025,65.5486,68.256,69.30783333333333,41.08125,97.5,81.4025,81.24657142857143,81.25333333333333,NA,65.205,66.31583333333333,66.80216666666668,0.301,0.522,NA,2.5,NA,NA,NA,22.98,2.255,3.084,0.771,NA,NA,21.41,15.959,27.807,71,0.06,21.3,NA,10.34,72.349,53.71,99.8,96,61.51,5.291,NA,NA,NA,27.609,98.843,86.074,100,NA,NA,NA,NA,27,93.935,92.145,15.6,NA,92.569,96.12,51.62,18.9,1261.705,67.89,68.375,100,97,1.411,2.3,NA,NA,NA,4.96,NA,0.455,NA,NA,NA,NA,77,60.046,NA,NA,0.083,0.222,50.895,NA,NA,NA,NA,NA,NA,NA,23.1,95.22800000000001,NA,NA,NA,NA,NA,4.119,4.479,30.591,13.875,NA,0.426,3.537,1.914,NA,NA,NA,NA,NA,NA,NA,NA,36.094,12.705,0.9410000000000001,NA,NA,2.163,NA,NA,NA,29,NA,NA,41.59,NA,NA,NA,NA,4.262,NA,34.184,NA,NA,NA,NA,NA,0,0.194,0,0,0,0,NA,NA,0,0,NA,NA,5500.503646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,45.286,0.22232,9649341,UM
Burundi,BDI,2015,2015,53.1280128720238,NA,0.199,0.061,0.17,0.091,0.128,5.638236624288412,16.133972346565702,1,3,0.08,-0.787,-0.436,-0.898,-0.735,0.141,0.226,10160034,60,NA,65.75,25.73333333333333,NA,Low income,Sub-Saharan Africa,1,0,53.32062499999999,44.13435714285715,40.2555,53.051,54.4828,16.428,64.70383333333334,12.625,58.366,63.686,96.60157142857145,99.77433333333333,NA,82.5714,52.7372857142857,57.3105,78.737,96.258,NA,NA,NA,NA,NA,3.42,2.03,1.204,0.805,NA,NA,525.2,23.666,67.557,122,0.29,24.1,NA,34.43,60.107,58.22,NA,93,40.25,2.905,NA,NA,NA,30.438,88.903,35.66,NA,NA,NA,NA,NA,41.1,62.93,103.377,30.5,NA,59.581,45.876,10.19,0,52.526,NA,NA,7.9,0.2,2.023,2.1,NA,NA,NA,1.442,NA,0.018,NA,NA,NA,NA,2,7.402,NA,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,47.549,41.2,87.922,NA,NA,NA,NA,NA,0.079,0.115,4.354,0.666,NA,NA,0.033,0.082,NA,NA,NA,NA,NA,NA,NA,NA,62.707,86.577,0.9,NA,NA,4.173,NA,54.291,NA,21,NA,NA,57.07,NA,NA,NA,86.025,9.523,NA,13.958,NA,NA,NA,NA,NA,0,0.197,0,0,0,0,NA,NA,1,0,2009,2016,280.9668313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,87.922,NA,11047580,L
