"dataset_id","dataset_name","original_code","original_name","standardized_code","standardized_name"
1,"Varieties of Democracy (V-Dem)","MEX","Mexico","MEX","Mexico"
1,"Varieties of Democracy (V-Dem)","SUR","Suriname","SUR","Suriname"
1,"Varieties of Democracy (V-Dem)","SWE","Sweden","SWE","Sweden"
1,"Varieties of Democracy (V-Dem)","CHE","Switzerland","CHE","Switzerland"
1,"Varieties of Democracy (V-Dem)","GHA","Ghana","GHA","Ghana"
1,"Varieties of Democracy (V-Dem)","ZAF","South Africa","ZAF","South Africa"
1,"Varieties of Democracy (V-Dem)","JPN","Japan","JPN","Japan"
1,"Varieties of Democracy (V-Dem)","MMR","Burma/Myanmar","MMR","Myanmar (Burma)"
1,"Varieties of Democracy (V-Dem)","RUS","Russia","RUS","Russia"
1,"Varieties of Democracy (V-Dem)","ALB","Albania","ALB","Albania"
1,"Varieties of Democracy (V-Dem)","EGY","Egypt","EGY","Egypt"
1,"Varieties of Democracy (V-Dem)","YEM","Yemen","YEM","Yemen"
1,"Varieties of Democracy (V-Dem)","COL","Colombia","COL","Colombia"
1,"Varieties of Democracy (V-Dem)","POL","Poland","POL","Poland"
1,"Varieties of Democracy (V-Dem)","BRA","Brazil","BRA","Brazil"
1,"Varieties of Democracy (V-Dem)","USA","United States of America","USA","United States"
1,"Varieties of Democracy (V-Dem)","PRT","Portugal","PRT","Portugal"
1,"Varieties of Democracy (V-Dem)","SLV","El Salvador","SLV","El Salvador"
1,"Varieties of Democracy (V-Dem)","BGD","Bangladesh","BGD","Bangladesh"
1,"Varieties of Democracy (V-Dem)","BOL","Bolivia","BOL","Bolivia"
1,"Varieties of Democracy (V-Dem)","HTI","Haiti","HTI","Haiti"
1,"Varieties of Democracy (V-Dem)","HND","Honduras","HND","Honduras"
1,"Varieties of Democracy (V-Dem)","MLI","Mali","MLI","Mali"
1,"Varieties of Democracy (V-Dem)","PAK","Pakistan","PAK","Pakistan"
1,"Varieties of Democracy (V-Dem)","PER","Peru","PER","Peru"
1,"Varieties of Democracy (V-Dem)","SEN","Senegal","SEN","Senegal"
1,"Varieties of Democracy (V-Dem)","SSD","South Sudan","SSD","South Sudan"
1,"Varieties of Democracy (V-Dem)","SDN","Sudan","SDN","Sudan"
1,"Varieties of Democracy (V-Dem)","VNM","Vietnam","VNM","Vietnam"
1,"Varieties of Democracy (V-Dem)","AFG","Afghanistan","AFG","Afghanistan"
1,"Varieties of Democracy (V-Dem)","ARG","Argentina","ARG","Argentina"
1,"Varieties of Democracy (V-Dem)","ETH","Ethiopia","ETH","Ethiopia"
1,"Varieties of Democracy (V-Dem)","IND","India","IND","India"
1,"Varieties of Democracy (V-Dem)","KEN","Kenya","KEN","Kenya"
1,"Varieties of Democracy (V-Dem)","PRK","North Korea","PRK","North Korea"
1,"Varieties of Democracy (V-Dem)","KOR","South Korea","KOR","South Korea"
1,"Varieties of Democracy (V-Dem)","XKX","Kosovo","XKX","Kosovo"
1,"Varieties of Democracy (V-Dem)","LBN","Lebanon","LBN","Lebanon"
1,"Varieties of Democracy (V-Dem)","NGA","Nigeria","NGA","Nigeria"
1,"Varieties of Democracy (V-Dem)","PHL","Philippines","PHL","Philippines"
1,"Varieties of Democracy (V-Dem)","TZA","Tanzania","TZA","Tanzania"
1,"Varieties of Democracy (V-Dem)","TWN","Taiwan","TWN","Taiwan"
1,"Varieties of Democracy (V-Dem)","THA","Thailand","THA","Thailand"
1,"Varieties of Democracy (V-Dem)","UGA","Uganda","UGA","Uganda"
1,"Varieties of Democracy (V-Dem)","VEN","Venezuela","VEN","Venezuela"
1,"Varieties of Democracy (V-Dem)","BEN","Benin","BEN","Benin"
1,"Varieties of Democracy (V-Dem)","BTN","Bhutan","BTN","Bhutan"
1,"Varieties of Democracy (V-Dem)","BFA","Burkina Faso","BFA","Burkina Faso"
1,"Varieties of Democracy (V-Dem)","KHM","Cambodia","KHM","Cambodia"
1,"Varieties of Democracy (V-Dem)","IDN","Indonesia","IDN","Indonesia"
1,"Varieties of Democracy (V-Dem)","MOZ","Mozambique","MOZ","Mozambique"
1,"Varieties of Democracy (V-Dem)","NPL","Nepal","NPL","Nepal"
1,"Varieties of Democracy (V-Dem)","NIC","Nicaragua","NIC","Nicaragua"
1,"Varieties of Democracy (V-Dem)","NER","Niger","NER","Niger"
1,"Varieties of Democracy (V-Dem)","ZMB","Zambia","ZMB","Zambia"
1,"Varieties of Democracy (V-Dem)","ZWE","Zimbabwe","ZWE","Zimbabwe"
1,"Varieties of Democracy (V-Dem)","GIN","Guinea","GIN","Guinea"
1,"Varieties of Democracy (V-Dem)","CIV","Ivory Coast","CIV","Côte d’Ivoire"
1,"Varieties of Democracy (V-Dem)","MRT","Mauritania","MRT","Mauritania"
1,"Varieties of Democracy (V-Dem)","CAN","Canada","CAN","Canada"
1,"Varieties of Democracy (V-Dem)","AUS","Australia","AUS","Australia"
1,"Varieties of Democracy (V-Dem)","BWA","Botswana","BWA","Botswana"
1,"Varieties of Democracy (V-Dem)","BDI","Burundi","BDI","Burundi"
