"dataset_id","dataset_name","original_code","original_name","reason"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Sub-Saharan Africa","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICS members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"BRICSplus members","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Eastern Europe and Central Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"East and South Asia","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"High-income Countries","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
3,"Sustainable Development Goals (SDG)",NA,"Latin America and the Caribbean","Could not map country name to standard code"
